DISTANCE,IBD_LEFT,IBD_RIGHT,IBD_MID,NR_PAIRS,COUNT,DISTANCE_INDEX,BIN_INDEX
23.968,0.01,0.025,0.0175,1,14,149,2
23.968,0.025,0.05,0.037500000000000006,1,3,149,3
26.468,0.004,0.01,0.007,1,27,150,1
26.468,0.01,0.025,0.0175,1,15,150,2
26.468,0.025,0.05,0.037500000000000006,1,0,150,3
28.86,0.004,0.01,0.007,1,38,151,1
28.86,0.01,0.025,0.0175,1,9,151,2
28.86,0.025,0.05,0.037500000000000006,1,3,151,3
31.272,0.004,0.01,0.007,1,47,152,1
31.272,0.01,0.025,0.0175,1,16,152,2
31.272,0.025,0.05,0.037500000000000006,1,2,152,3
33.875,0.004,0.01,0.007,1,39,153,1
33.875,0.01,0.025,0.0175,1,11,153,2
33.875,0.025,0.05,0.037500000000000006,1,1,153,3
36.368,0.004,0.01,0.007,1,31,154,1
36.368,0.01,0.025,0.0175,1,8,154,2
36.368,0.025,0.05,0.037500000000000006,1,3,154,3
38.864,0.004,0.01,0.007,1,45,155,1
38.864,0.01,0.025,0.0175,1,13,155,2
38.864,0.025,0.05,0.037500000000000006,1,8,155,3
41.235,0.004,0.01,0.007,1,40,156,1
41.235,0.01,0.025,0.0175,1,10,156,2
41.235,0.025,0.05,0.037500000000000006,1,2,156,3
43.087,0.004,0.01,0.007,1,39,157,1
43.087,0.01,0.025,0.0175,1,13,157,2
43.087,0.025,0.05,0.037500000000000006,1,2,157,3
54.488,0.004,0.01,0.007,1,34,158,1
54.488,0.01,0.025,0.0175,1,10,158,2
54.488,0.025,0.05,0.037500000000000006,1,3,158,3
61.09,0.004,0.01,0.007,1,27,159,1
61.09,0.01,0.025,0.0175,1,9,159,2
61.09,0.025,0.05,0.037500000000000006,1,5,159,3
63.59,0.004,0.01,0.007,1,37,160,1
63.59,0.01,0.025,0.0175,1,8,160,2
63.59,0.025,0.05,0.037500000000000006,1,3,160,3
65.98,0.004,0.01,0.007,1,41,161,1
65.98,0.01,0.025,0.0175,1,17,161,2
65.98,0.025,0.05,0.037500000000000006,1,0,161,3
68.354,0.004,0.01,0.007,1,35,162,1
68.354,0.01,0.025,0.0175,1,18,162,2
68.354,0.025,0.05,0.037500000000000006,1,2,162,3
70.736,0.004,0.01,0.007,1,44,163,1
70.736,0.01,0.025,0.0175,1,14,163,2
70.736,0.025,0.05,0.037500000000000006,1,1,163,3
73.197,0.004,0.01,0.007,1,38,164,1
73.197,0.01,0.025,0.0175,1,11,164,2
73.197,0.025,0.05,0.037500000000000006,1,0,164,3
75.691,0.004,0.01,0.007,1,33,165,1
75.691,0.01,0.025,0.0175,1,9,165,2
75.691,0.025,0.05,0.037500000000000006,1,3,165,3
78.172,0.004,0.01,0.007,1,52,166,1
78.172,0.01,0.025,0.0175,1,15,166,2
78.172,0.025,0.05,0.037500000000000006,1,3,166,3
80.677,0.004,0.01,0.007,1,34,167,1
80.677,0.01,0.025,0.0175,1,12,167,2
80.677,0.025,0.05,0.037500000000000006,1,3,167,3
85.693,0.004,0.01,0.007,1,51,168,1
85.693,0.01,0.025,0.0175,1,18,168,2
85.693,0.025,0.05,0.037500000000000006,1,0,168,3
88.251,0.004,0.01,0.007,1,43,169,1
88.251,0.01,0.025,0.0175,1,17,169,2
88.251,0.025,0.05,0.037500000000000006,1,3,169,3
90.857,0.004,0.01,0.007,1,31,170,1
90.857,0.01,0.025,0.0175,1,14,170,2
90.857,0.025,0.05,0.037500000000000006,1,4,170,3
93.071,0.004,0.01,0.007,1,36,171,1
93.071,0.01,0.025,0.0175,1,11,171,2
93.071,0.025,0.05,0.037500000000000006,1,1,171,3
95.466,0.004,0.01,0.007,1,40,172,1
95.466,0.01,0.025,0.0175,1,16,172,2
95.466,0.025,0.05,0.037500000000000006,1,3,172,3
98.242,0.004,0.01,0.007,1,40,173,1
